id,channel,source,release,version,index_family,effective_variant,wheel_variant,python_tag,abi_tag,operating_system,architecture,platform_tag,filename,index_url,download_url,install_command,commit,published_at,size
6be2ddeaeacb623c,commit,wheels.vllm.ai,,0.27.2rc1.dev122+g8efa13b70,main,cpu,cpu,cp312,cp312,macOS,arm64,macosx_11_0_arm64,vllm-0.27.2rc1.dev122+g8efa13b70.cpu-cp312-cp312-macosx_11_0_arm64.whl,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/cpu,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/vllm-0.27.2rc1.dev122%2Bg8efa13b70.cpu-cp312-cp312-macosx_11_0_arm64.whl,"uv pip install -U ""vllm"" --extra-index-url ""https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/cpu"" --index-strategy first-index --torch-backend cpu",8efa13b700f1836657699cae2503dc2feab27fa0,,
3fe1cc8eca62c678,commit,wheels.vllm.ai,,0.27.2rc1.dev122+g8efa13b70,main,cpu,cpu,cp38,abi3,Linux,aarch64,manylinux_2_34_aarch64,vllm-0.27.2rc1.dev122+g8efa13b70.cpu-cp38-abi3-manylinux_2_34_aarch64.whl,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/cpu,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/vllm-0.27.2rc1.dev122%2Bg8efa13b70.cpu-cp38-abi3-manylinux_2_34_aarch64.whl,"uv pip install -U ""vllm"" --extra-index-url ""https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/cpu"" --index-strategy first-index --torch-backend cpu",8efa13b700f1836657699cae2503dc2feab27fa0,,
2349c56f1f4f7691,commit,wheels.vllm.ai,,0.27.2rc1.dev122+g8efa13b70,main,cpu,cpu,cp38,abi3,Linux,x86_64,manylinux_2_34_x86_64,vllm-0.27.2rc1.dev122+g8efa13b70.cpu-cp38-abi3-manylinux_2_34_x86_64.whl,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/cpu,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/vllm-0.27.2rc1.dev122%2Bg8efa13b70.cpu-cp38-abi3-manylinux_2_34_x86_64.whl,"uv pip install -U ""vllm"" --extra-index-url ""https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/cpu"" --index-strategy first-index --torch-backend cpu",8efa13b700f1836657699cae2503dc2feab27fa0,,
6c43932c8756b4e8,commit,wheels.vllm.ai,,0.27.2rc1.dev122+g8efa13b70,main,cu129,cu129,cp38,abi3,Linux,aarch64,manylinux_2_28_aarch64,vllm-0.27.2rc1.dev122+g8efa13b70.cu129-cp38-abi3-manylinux_2_28_aarch64.whl,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/cu129,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/vllm-0.27.2rc1.dev122%2Bg8efa13b70.cu129-cp38-abi3-manylinux_2_28_aarch64.whl,"uv pip install -U ""vllm"" --extra-index-url ""https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/cu129"" --torch-backend auto",8efa13b700f1836657699cae2503dc2feab27fa0,,
9b5f3b57a2e5aa8e,commit,wheels.vllm.ai,,0.27.2rc1.dev122+g8efa13b70,main,cu129,cu129,cp38,abi3,Linux,x86_64,manylinux_2_28_x86_64,vllm-0.27.2rc1.dev122+g8efa13b70.cu129-cp38-abi3-manylinux_2_28_x86_64.whl,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/cu129,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/vllm-0.27.2rc1.dev122%2Bg8efa13b70.cu129-cp38-abi3-manylinux_2_28_x86_64.whl,"uv pip install -U ""vllm"" --extra-index-url ""https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/cu129"" --torch-backend auto",8efa13b700f1836657699cae2503dc2feab27fa0,,
5ab55b1663ddd7f6,commit,wheels.vllm.ai,,0.27.2rc1.dev122+g8efa13b70,main,cu130,,cp38,abi3,Linux,aarch64,manylinux_2_28_aarch64,vllm-0.27.2rc1.dev122+g8efa13b70-cp38-abi3-manylinux_2_28_aarch64.whl,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/cu130,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/vllm-0.27.2rc1.dev122%2Bg8efa13b70-cp38-abi3-manylinux_2_28_aarch64.whl,"uv pip install -U ""vllm"" --extra-index-url ""https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/cu130"" --torch-backend auto",8efa13b700f1836657699cae2503dc2feab27fa0,,
69d32517084e12d6,commit,wheels.vllm.ai,,0.27.2rc1.dev122+g8efa13b70,main,cu130,,cp38,abi3,Linux,x86_64,manylinux_2_28_x86_64,vllm-0.27.2rc1.dev122+g8efa13b70-cp38-abi3-manylinux_2_28_x86_64.whl,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/cu130,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/vllm-0.27.2rc1.dev122%2Bg8efa13b70-cp38-abi3-manylinux_2_28_x86_64.whl,"uv pip install -U ""vllm"" --extra-index-url ""https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/cu130"" --torch-backend auto",8efa13b700f1836657699cae2503dc2feab27fa0,,
37376a7c3a131a2d,commit,wheels.vllm.ai,,0.27.2rc1.dev122+g8efa13b70,main,default,,cp38,abi3,Linux,aarch64,manylinux_2_28_aarch64,vllm-0.27.2rc1.dev122+g8efa13b70-cp38-abi3-manylinux_2_28_aarch64.whl,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/vllm-0.27.2rc1.dev122%2Bg8efa13b70-cp38-abi3-manylinux_2_28_aarch64.whl,"uv pip install -U ""vllm"" --extra-index-url ""https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0"" --torch-backend auto",8efa13b700f1836657699cae2503dc2feab27fa0,,
640a365260226295,commit,wheels.vllm.ai,,0.27.2rc1.dev122+g8efa13b70,main,default,,cp38,abi3,Linux,x86_64,manylinux_2_28_x86_64,vllm-0.27.2rc1.dev122+g8efa13b70-cp38-abi3-manylinux_2_28_x86_64.whl,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/vllm-0.27.2rc1.dev122%2Bg8efa13b70-cp38-abi3-manylinux_2_28_x86_64.whl,"uv pip install -U ""vllm"" --extra-index-url ""https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0"" --torch-backend auto",8efa13b700f1836657699cae2503dc2feab27fa0,,
79613b6bddca157b,commit,wheels.vllm.ai,,0.27.2rc1.dev122+g8efa13b70,main,xpu,xpu,cp38,abi3,Linux,x86_64,manylinux_2_34_x86_64,vllm-0.27.2rc1.dev122+g8efa13b70.xpu-cp38-abi3-manylinux_2_34_x86_64.whl,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/xpu,https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/vllm-0.27.2rc1.dev122%2Bg8efa13b70.xpu-cp38-abi3-manylinux_2_34_x86_64.whl,"uv pip install -U ""vllm"" --extra-index-url ""https://wheels.vllm.ai/8efa13b700f1836657699cae2503dc2feab27fa0/xpu"" --torch-backend auto",8efa13b700f1836657699cae2503dc2feab27fa0,,
